"shapeid","x","y"
"0","-122.484089011","37.7879103399"
"0","-122.484346284","37.7876544892"
"0","-122.487433682","37.787490957"
"0","-122.48712304","37.7837599138"
"0","-122.492526431","37.7835014222"
"0","-122.49240685","37.781663183"
"0","-122.505317129","37.7809981684"
"0","-122.505143561","37.7797742765"
"0","-122.506199996","37.779867835"
"0","-122.507818259","37.7799518168"
"0","-122.509503739","37.7799230994"
"0","-122.509342169","37.7791451335"
"0","-122.509094654","37.7751899855"
"0","-122.51316878","37.7750460678"
"0","-122.513170475","37.7751086027"
"0","-122.513149512","37.77520218"
"0","-122.513167696","37.7752950879"
"0","-122.513138737","37.7753825869"
"0","-122.513155237","37.775413378"
"0","-122.51311828","37.7754947986"
"0","-122.51311609","37.7759920038"
"0","-122.513219893","37.776642763"
"0","-122.513262408","37.7767663282"
"0","-122.513272595","37.7768531587"
"0","-122.513300932","37.7769959424"
"0","-122.513336696","37.777196538"
"0","-122.513350562","37.7773303122"
"0","-122.513418662","37.7774434836"
"0","-122.513485075","37.7775415078"
"0","-122.513512239","37.777602764"
"0","-122.513606157","37.7776335377"
"0","-122.513790337","37.7777107639"
"0","-122.513970045","37.777742615"
"0","-122.514130325","37.7779021695"
"0","-122.514271867","37.7781249322"
"0","-122.514413875","37.7782705978"
"0","-122.514604217","37.7784757623"
"0","-122.514629911","37.778506287"
"0","-122.514661762","37.7786436922"
"0","-122.514636457","37.7787475856"
"0","-122.514564989","37.7788461828"
"0","-122.514578786","37.7789778095"
"0","-122.514499186","37.7791536346"
"0","-122.51449394","37.7792429854"
"0","-122.514567723","37.7794182172"
"0","-122.514670934","37.7794464493"
"0","-122.514854406","37.7795248945"
"0","-122.514947579","37.7797193858"
"0","-122.514897231","37.7798483993"
"0","-122.514749796","37.7798722783"
"0","-122.514640702","37.7798207453"
"0","-122.51456537","37.7798970209"
"0","-122.514534599","37.780082154"
"0","-122.514511549","37.7802691848"
"0","-122.514474897","37.7804260178"
"0","-122.514466904","37.7806026469"
"0","-122.514647775","37.7808612534"
"0","-122.5147242","37.7811338158"
"0","-122.514585545","37.7813005066"
"0","-122.51446799","37.7813025153"
"0","-122.514293499","37.7812791239"
"0","-122.514303146","37.7813519907"
"0","-122.514284791","37.7814293933"
"0","-122.514242282","37.7814646071"
"0","-122.513868018","37.7814283995"
"0","-122.513759394","37.7814769137"
"0","-122.513883299","37.7816147744"
"0","-122.513812487","37.781737703"
"0","-122.513696499","37.7818918334"
"0","-122.513670808","37.7819815333"
"0","-122.513522668","37.7820814392"
"0","-122.513466859","37.7821919393"
"0","-122.51354611","37.7822859329"
"0","-122.513590023","37.7823967585"
"0","-122.513504068","37.7824327141"
"0","-122.513460432","37.7825206917"
"0","-122.513490082","37.7825769874"
"0","-122.513499289","37.7826336323"
"0","-122.513498547","37.7827005906"
"0","-122.513444468","37.7827806317"
"0","-122.513312513","37.7828173728"
"0","-122.513177697","37.782748672"
"0","-122.513099133","37.7827743577"
"0","-122.513081987","37.7828963695"
"0","-122.512986056","37.7830359559"
"0","-122.513019526","37.7831388462"
"0","-122.513026286","37.7831995902"
"0","-122.512878997","37.7832365917"
"0","-122.512854017","37.783352652"
"0","-122.512806203","37.7834751873"
"0","-122.512706067","37.7835539858"
"0","-122.512518654","37.7836200732"
"0","-122.512465727","37.7837426965"
