shapeid,OBJECTID,Name,Acres,SHAPE_area,SHAPE_len
0,1,Roslindale,1605.561815,69938272.67,53563.9126
0.1,1,Roslindale,1605.561815,69938272.67,53563.9126
0.2,1,Roslindale,1605.561815,69938272.67,53563.9126
1,2,Jamaica Plain,2519.235317,109737890.4,56349.93716
2,3,Mission Hill,350.8521602,15283120.1,17918.72411
3,4,Longwood Medical Area,188.6111923,8215903.535,11908.75715
4,5,Bay Village,26.53973299,1156070.769,4650.635493
5,6,Leather District,15.63984554,681271.672,3237.140537
6,7,Chinatown,76.32410468,3324678,9736.590413
7,8,North End,126.9099314,5528196.611,17124.77412
7.1,8,North End,126.9099314,5528196.611,17124.77412
8,9,Roxbury,2108.460638,91844545.39,49488.80048
9,10,South End,471.5334695,20539997.93,17912.33357
10,11,Back Bay,399.3128138,17394066.17,19455.67115
11,12,East Boston,3012.047545,131204791.1,119815.8191
12,13,Charlestown,871.5377367,37964183.81,57509.68865
12.1,13,Charlestown,871.5377367,37964183.81,57509.68865
13,14,West End,101.0839412,4403216.477,10321.16662
13.1,14,West End,101.0839412,4403216.477,10321.16662
14,15,Beacon Hill,200.1561033,8718799.862,14303.82902
15,16,Downtown,486.8772859,21208374.57,44225.94041
15.1,16,Downtown,486.8772859,21208374.57,44225.94041
16,17,Fenway,560.616219,24420442.5,24620.87645
17,18,Brighton,1840.401235,80167877.78,48787.51965
18,19,West Roxbury,3516.407721,153174720.3,66067.41984
19,20,Hyde Park,2927.209459,127509244,66861.24496
20,21,Mattapan,1352.092945,58897168.7,42005.77371
21,22,Dorchester,4662.860806,203114216.7,104344.034
21.1,22,Dorchester,4662.860806,203114216.7,104344.034
22,23,South Boston Waterfront,621.8410364,27087395.54,38391.35291
23,24,South Boston,1439.883048,62721305.56,64998.42028
23.1,24,South Boston,1439.883048,62721305.56,64998.42028
24,25,Allston,998.5304846,43495987.9,37859.09124
25,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.1,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.2,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.3,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.4,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.5,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.6,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.7,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.8,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.9,26,Harbor Islands,824.8853584,35932006.21,92482.18357
25.1,26,Harbor Islands,824.8853584,35932006.21,92482.18357
