"shapeid","x","y"
"0.0","-71.1259265672","42.2720044535"
"0.0","-71.1257473404","42.2723385403"
"0.0","-71.1256636412","42.2724743151"
"0.0","-71.1255502259","42.2725701671"
"0.0","-71.1257282787","42.2724826762"
"0.0","-71.1263771617","42.2721591411"
"0.0","-71.1265146046","42.2720908833"
"0.0","-71.1265954775","42.272172802"
"0.0","-71.1266577701","42.2722359204"
"0.0","-71.1269097745","42.2720907992"
"0.0","-71.1272567293","42.271994757"
"0.0","-71.1273975463","42.2719546346"
"0.0","-71.1276029684","42.2719019137"
"0.0","-71.1278670809","42.2719529627"
"0.0","-71.1279457584","42.271961485"
"0.0","-71.1282650717","42.2712392098"
"0.0","-71.128411316","42.2709153244"
"0.0","-71.1284561587","42.2708733902"
"0.0","-71.1288392734","42.2706729574"
"0.0","-71.1294843972","42.2703379326"
"0.0","-71.1299806822","42.2700814471"
"0.0","-71.1301594414","42.2700040098"
"0.0","-71.130364996","42.2703826974"
"0.0","-71.1304283379","42.2703672792"
"0.0","-71.1307422079","42.2702771106"
"0.0","-71.1308661314","42.2705208439"
"0.0","-71.1309961422","42.2707768489"
"0.0","-71.1315297717","42.270640047"
"0.0","-71.1316102191","42.2706208261"
"0.0","-71.1317312785","42.2708797878"
"0.0","-71.1319076868","42.2711769169"
"0.0","-71.1318759066","42.2713129022"
"0.0","-71.1317565669","42.2720159716"
"0.0","-71.1316730122","42.2722528211"
"0.0","-71.1315699707","42.2723849828"
"0.0","-71.1314992905","42.2724535599"
"0.0","-71.1311545096","42.2726980576"
"0.0","-71.130958123","42.272832492"
"0.0","-71.1310155685","42.2728747289"
"0.0","-71.1311509776","42.2729598797"
"0.0","-71.131282192","42.2730409943"
"0.0","-71.131331437","42.2730724172"
"0.0","-71.1313493274","42.2730838328"
"0.0","-71.1313674625","42.2730950854"
"0.0","-71.1315072589","42.273181829"
"0.0","-71.1316442701","42.2732679134"
"0.0","-71.1318028227","42.2733674525"
"0.0","-71.1319815285","42.2734784096"
"0.0","-71.1321397802","42.27357776"
"0.0","-71.1323216681","42.2736914349"
"0.0","-71.1323365044","42.2737007078"
"0.0","-71.1325256171","42.2738180931"
"0.0","-71.1327323953","42.2739463941"
"0.0","-71.1329284371","42.2740680287"
"0.0","-71.1330702755","42.2741560391"
"0.0","-71.1332121156","42.2742440412"
"0.0","-71.1333539439","42.274332044"
"0.0","-71.1335120737","42.2744301542"
"0.0","-71.1335146347","42.274427935"
"0.0","-71.1335146774","42.2744278973"
"0.0","-71.1335169192","42.2744259553"
"0.0","-71.1335891601","42.2743633618"
"0.0","-71.1337029898","42.2742647267"
"0.0","-71.1339484508","42.2740520502"
"0.0","-71.1347441054","42.2733626466"
"0.0","-71.1349701156","42.2732153013"
"0.0","-71.1351611001","42.2730907895"
"0.0","-71.1352681389","42.2730056466"
"0.0","-71.1353892334","42.2729093241"
"0.0","-71.1355788057","42.2727387647"
"0.0","-71.1370083395","42.2715115405"
"0.0","-71.1371936804","42.2713601739"
"0.0","-71.1373584979","42.2712257309"
"0.0","-71.137883152","42.2707977428"
"0.0","-71.1374478248","42.2705429312"
"0.0","-71.136412161","42.2699367248"
"0.0","-71.1364603522","42.26990634"
"0.0","-71.1365239282","42.2698662562"
