"shapeid","x","y"
"0","-71.1563988189","42.3958684618"
"0","-71.155629695","42.3968060011"
"0","-71.1548786394","42.3976084445"
"0","-71.1531860949","42.3997505769"
"0","-71.1520510011","42.40103068"
"0","-71.1515685005","42.4008268465"
"0","-71.1507484926","42.4004792965"
"0","-71.1488660833","42.3996448647"
"0","-71.1468872328","42.3987689454"
"0","-71.1444008132","42.3977212931"
"0","-71.1433030705","42.3973186359"
"0","-71.1432861027","42.397660218"
"0","-71.1417403683","42.3987749902"
"0","-71.1410739783","42.3993834654"
"0","-71.1406607561","42.3996195364"
"0","-71.140117709","42.3998572584"
"0","-71.1393961058","42.4001204866"
"0","-71.1387642415","42.4001473175"
"0","-71.1381107309","42.400236504"
"0","-71.1376624884","42.4002817426"
"0","-71.1370723641","42.4005748687"
"0","-71.1363921869","42.4009541449"
"0","-71.1356709726","42.4015466375"
"0","-71.135273446","42.4020242156"
"0","-71.1347583523","42.4025432659"
"0","-71.1343620348","42.4031697094"
"0","-71.134147545","42.4036053318"
"0","-71.1339661832","42.4037543058"
"0","-71.1332558128","42.4031860836"
"0","-71.1326855221","42.4027260081"
"0","-71.1315747946","42.4018093747"
"0","-71.1305382546","42.4007159765"
"0","-71.1296098883","42.3996489854"
"0","-71.1288956867","42.3988413045"
"0","-71.128266324","42.3981292487"
"0","-71.1269803779","42.3966590755"
"0","-71.1262243116","42.3957819537"
"0","-71.1254151486","42.3948490872"
"0","-71.1247544113","42.3940957485"
"0","-71.1241488943","42.3934358841"
"0","-71.1232882447","42.3926503269"
"0","-71.1228213378","42.3922632567"
"0","-71.1226516399","42.3923971594"
"0","-71.1216611784","42.3931663601"
"0","-71.12111641","42.3935727464"
"0","-71.1209749795","42.393776027"
"0","-71.1204932091","42.3929752316"
"0","-71.1202316038","42.3926546856"
"0","-71.1194800955","42.3918125204"
"0","-71.1192166245","42.3915344985"
"0","-71.118124947","42.3905930979"
"0","-71.1170871557","42.3895839502"
"0","-71.1173631406","42.3893968997"
"0","-71.117973583","42.3890703268"
"0","-71.1179004535","42.3889589494"
"0","-71.1175496798","42.3885063854"
"0","-71.117486125","42.3883422162"
"0","-71.1180636837","42.3880573802"
"0","-71.1172393826","42.3870626622"
"0","-71.1165322258","42.3862871673"
"0","-71.1153751357","42.3849393988"
"0","-71.114043256","42.3837728267"
"0","-71.1143650312","42.3838130085"
"0","-71.1151577194","42.3838678001"
"0","-71.1165674215","42.3839548288"
"0","-71.1180850192","42.3840271059"
"0","-71.119479353","42.3840934673"
"0","-71.119453403","42.3843307436"
"0","-71.119362937","42.3851399436"
"0","-71.1193201445","42.3855617016"
"0","-71.119690873","42.3855807643"
"0","-71.1200925922","42.3856013001"
"0","-71.1215144595","42.3856732156"
"0","-71.1220341501","42.3855027339"
"0","-71.1227272226","42.3852751932"
"0","-71.1236679588","42.3851417568"
"0","-71.1245045068","42.3850998992"
"0","-71.1246559235","42.3852746414"
"0","-71.125301358","42.3862522599"
"0","-71.1257392501","42.3861034478"
"0","-71.1274003812","42.3854626119"
"0","-71.1281071902","42.385177458"
"0","-71.1284601191","42.3856272529"
"0","-71.1295555885","42.3866042416"
"0","-71.1314902573","42.3859834359"
"0","-71.1324820037","42.3875006441"
"0","-71.1330509323","42.3883709558"
"0","-71.1331135762","42.3886990707"
"0","-71.1331831859","42.3891424587"
"0","-71.1342241129","42.3894126322"
"0","-71.1350431986","42.3897191375"
"0","-71.1369195352","42.390520851"
"0","-71.1392289055","42.3915070578"
"0","-71.1419652875","42.3926859454"
"0","-71.1444468104","42.393821447"
"0","-71.148161712","42.3945737606"
"0","-71.1499003386","42.3949371623"
"0","-71.1526427942","42.3955368172"
"0","-71.1542073636","42.395835829"
"0","-71.1563988189","42.3958684618"
"1","-71.114043256","42.3837728267"
"1","-71.1140263809","42.3837707121"
"1","-71.1124097269","42.3823863833"
"1","-71.1117053093","42.3817858011"
"1","-71.1109065895","42.3817007804"
"1","-71.1106941127","42.381682225"
"1","-71.1078466413","42.3793764539"
"1","-71.1084459619","42.3791198666"
"1","-71.1072754191","42.3780875364"
"1","-71.1053964558","42.3763427367"
"1","-71.1059385697","42.3743873847"
"1","-71.1068138064","42.3745008287"
"1","-71.1107551969","42.3691653449"
"1","-71.1126010909","42.3698411309"
"1","-71.1132357032","42.3703008411"
"1","-71.1133934651","42.3696915008"
"1","-71.113506579","42.3688940407"
"1","-71.113536571","42.3674679074"
"1","-71.1135686641","42.3660383512"
