"shapeid","x","y","OBJECTID","Match_type","Ref_ID","ID1","Id","SchoolId","Name","Address","City","Zipcode","Contact","PhoneNumbe","YearBuilt","NumStories","Cost","NumStudent","BackupPowe","ShelterCap","Latitude","Longitude","Comment","X","Y","NumStude_1","CampusHous","NumStude_2","URL","Address201"
"0","-71.0701413171","42.3625993318","1","NCES","0","Fruit St, Boston, Massachusetts 02114-2696","98627","431594","Massachusetts General Hospital Dietetic Internship","Fruit St, Boston, Massachusetts 02114","West End","365190","MASS GEN EYE * EAR INF","(617) 726-2589","1899","13","106836600","10","0","NULL","42.362591","-71.070141","0300381001","772340.999867","2957450.00006","NULL","NULL","20","N/A","NULL"
"1","-71.0619486982","42.3589135243","2","NCES & Consortium","0","8 Ashburton Place, Boston, Massachusetts 02108-27*","11959","168005","Suffolk University","8 Ashburton Pl Beacon Hill, Boston, Massachusetts 02108","Boston","149016","SUFFOLK UNIVERSITY TRSTS OF","(617) 573-8000","1899","12","21673500","9148","0","NULL","42.358905","-71.061948","0302802001","774562.025937","2956118.08441","9101","21%","8675","http://www.suffolk.edu","NULL"
"2","-71.07018706","42.3461113874","3","NCES & Consortium","0","41 Berkeley St, Boston, Massachusetts 02116","16632","165884","Benjamin Franklin Institute of Technology","41 Berkeley St, Boston, Massachusetts 02116","South End","78750","CITY OF BOSTON","(617) 423-4630","1920","4","15975800","594","0","NULL","42.346103","-71.070186","0500688000","772358.914857","2951441.41398","472","NULL","482","http://www.bfit.edu","NULL"
"3","-71.069572253","42.3751252255","4","NCES & Consortium","0","250 New Rutherford Ave, Boston, Massachusetts 021*","1949","165112","Bunker Hill Community College","250 New Rutherford Ave, Boston, Massachusetts 02129","Charlestown","203509","COMMONWEALTH OF MASS","(617) 228-2000","1899","4","17181400","11009","0","NULL","42.375117","-71.069572","0202170000","772471.759776","2962015.46665","12934","NULL","14023","http://www.bhcc.mass.edu","NULL"
"4","-71.0539723313","42.3749257343","5","NCES & Consortium","0","36 1st Avenue, Boston, Massachusetts 02129-4557","9109","166869","MGH Institute of Health Professions","36 1st Avenue, Boston, Massachusetts 02129","Charlestown","70077","MGH INSTITUTE OF HEALTH","(617) 726-3140","1899","3.5","9386500","900","0","NULL","42.374917","-71.053972","0203504000","776687.321227","2961964.42443","928","NULL","1096","http://www.mghihp.edu","NULL"
"5","-71.1034785579","42.3415250024","6","NCES & Consortium","0","400 The Fenway, Boston, Massachusetts 02115","86640","165671","Emmanuel College","400 Fenway, Massachusetts 02115","Fenway/Kenmore","52212","EMMANUEL COLLEGE TRUSTEES","(617) 735-9715","1899","3","99370400","2454","0","NULL","42.341516","-71.103478","0401847000","763367.006004","2949726.45415","2519","48%","2436","http://www.emmanuel.edu","NULL"
"6","-71.0966942312","42.3385466071","7","NCES & Consortium","0","230 The Fenway, Boston, Massachusetts 02115-5596","86302","166984","School of the Museum of Fine Arts-Boston","230 The Fenway, Boston, Massachusetts 02115","Fenway/Kenmore","113496","MUSEUM OF FINE ARTS","(617) 267-6100","1987","3","8437121","754","0","NULL","42.338538","-71.096694","0401806000","765206.276932","2948649.67087","747","14%","651","http://www.smfa.edu","NULL"
"7","-71.0999405084","42.3391959989","8","NCES & Consortium","0","300 The Fenway, Boston, Massachusetts 02115-5898","86125","167783","Simmons","300 Fenway, Boston, Massachusetts 02115","Fenway/Kenmore","240740","SIMMONS COLLEGE","(617) 521-2000","1976","4","55553100","5003","0","NULL","42.339187","-71.09994","0401842000","764327.496537","2948882.18812","4829","75%","4900","http://www.simmons.edu","NULL"
"8","-71.0997099147","42.3495684282","9","NCES & Consortium","0","One Silber Way, Boston, Massachusetts 02215","15422","164988","Boston University","One Silber Way, Boston, Massachusetts 02215","Fenway/Kenmore","593154","BOSTON UNIVERSITY TRSTS OF","(617) 353-2000","1996","8","66943300","31960","0","NULL","42.34956","-71.099709","0503991000","764372.100779","2952662.39119","32439","74%","32411","http://www.bu.edu","NULL"
"9","-71.0900119303","42.3460668923","10","NCES & Consortium","0","8 the Fenway, Boston, Massachusetts 02215","22285","164933","The Boston Conservatory","8 Fenway, Boston, Massachusetts 02215","Fenway/Kenmore","35350","BOSTON CONSERVATRY MUSIC","(617) 536-6340","1899","6","4900600","682","0","NULL","42.346058","-71.090011","0401795000","766999.744802","2951398.81629","710","29%","774","http://www.bostonconservatory.edu","NULL"
"10","-71.1064206057","42.3417486685","11","NCES","0","200 Riverway, Boston, Massachusetts 02215-4176","86683","168290","Wheelock College","200 the Riverway, Boston, Massachusetts 02215","Fenway/Kenmore","75256","WHEELOCK SCHOOL","(617) 734-5200","1925","3","11614900","1055","0","NULL","42.34174","-71.10642","0402011000","762571.248737","2949804.27847","1285","70%","1378","http://www.wheelock.edu","NULL"
"11","-71.0954950206","42.3292440167","12","NCES","0","1234 Columbus Ave, Roxbury Crossing, Massachusett*","89176","167631","Roxbury Community College","1234 Columbus Ave, Roxbury Crossing, Massachusetts 02120","Roxbury","144812","BOARD OF REGENTS OF","(617) 427-0060","1986","5","30893400","2749","0","NULL","42.329235","-71.095494","1100029000","765546.574808","2945261.17371","2744","NULL","2437","http://www.rcc.mass.edu","NULL"
"12","-71.0392027416","42.3138180225","13","NCES & Consortium","0","100 Morrissey Boulevard, Boston, Massachusetts 02*","91520","166638","University of Massachusetts-Boston","100 Morrissey Blvd, Boston, Massachusetts 02125","North Dorchester","264200","COMMONWEALTH OF MASS","(617) 287-5000","1960","5","195575300","14912","0","NULL","42.313809","-71.039202","1303400000","780798.454737","2939716.90462","15741","NULL","16277","http://www.umb.edu","NULL"
"13","-71.1090017997","42.3508416552","14","Consortium","0","NULL","15399","0","Boston University Research","771 Commonwealth Ave","Fenway/Kenmore","0","BOSTON UNIVERSITY TRSTS","(617)-353-3696","0","5","1484500","0","0","NULL","42.350833","-71.109001","2100360000","761858.236712","2953114.72953","NULL","NULL","0","NULL","NULL"
"14","-71.1097735207","42.3511705866","15","Consortium","0","NULL","15400","0","Boston University School of Law","1 University Rd","Fenway/Kenmore","54767","BOSTON UNIVERSITY TRSTS","(617)-353-9000","1931","3","5529700","0","0","NULL","42.351162","-71.109773","2100392000","761649.084571","2953233.64333","NULL","NULL","0","http://www.bu.edu/law/about/overview.html","NULL"
