"shapeid","x","y"
"0.0","757409.122579","2924367.74863"
"0.0","757457.09558","2924489.70738"
"0.0","757479.53123","2924539.28504"
"0.0","757510.073164","2924574.3496"
"0.0","757462.024048","2924542.25518"
"0.0","757286.923676","2924423.58448"
"0.0","757249.834183","2924398.54746"
"0.0","757227.815527","2924428.30396"
"0.0","757210.855587","2924451.23141"
"0.0","757142.882954","2924398.04877"
"0.0","757049.133797","2924362.63907"
"0.0","757011.085973","2924347.85137"
"0.0","756955.572961","2924328.39635"
"0.0","756884.01044","2924346.68733"
"0.0","756862.703068","2924349.70011"
"0.0","756777.42896","2924086.116"
"0.0","756738.362109","2923967.91512"
"0.0","756726.291923","2923952.58083"
"0.0","756622.919099","2923879.08885"
"0.0","756448.844972","2923756.24198"
"0.0","756314.928901","2923662.19198"
"0.0","756266.669155","2923633.7629"
"0.0","756210.436656","2923771.52082"
"0.0","756193.317267","2923765.82792"
"0.0","756108.509366","2923732.60128"
"0.0","756074.584565","2923821.27597"
"0.0","756038.993101","2923914.41555"
"0.0","755894.780463","2923863.93862"
"0.0","755873.037396","2923856.84021"
"0.0","755839.86489","2923951.06804"
"0.0","755791.652388","2924059.14"
"0.0","755800.039839","2924108.73209"
"0.0","755831.233018","2924365.08001"
"0.0","755853.474115","2924451.48895"
"0.0","755881.15385","2924499.77101"
"0.0","755900.175137","2924524.84412"
"0.0","755993.103101","2924614.34591"
"0.0","756046.041971","2924663.56563"
"0.0","756030.428158","2924678.89007"
"0.0","755993.646407","2924709.76173"
"0.0","755958.006386","2924739.16751"
"0.0","755944.629117","2924750.56086"
"0.0","755939.769218","2924754.69996"
"0.0","755934.843375","2924758.77935"
"0.0","755896.871994","2924790.22646"
"0.0","755859.655533","2924821.4367"
"0.0","755816.588034","2924857.52489"
"0.0","755768.048433","2924897.75053"
"0.0","755725.062955","2924933.77047"
"0.0","755675.658198","2924974.98298"
"0.0","755671.62835","2924978.34485"
"0.0","755620.262639","2925020.9012"
"0.0","755564.099038","2925067.41489"
"0.0","755510.851769","2925111.51191"
"0.0","755472.326912","2925143.419"
"0.0","755433.801726","2925175.32314"
"0.0","755395.279822","2925207.2276"
"0.0","755352.330432","2925242.79643"
"0.0","755351.640801","2925241.98475"
"0.0","755351.629318","2925241.97097"
"0.0","755351.025645","2925241.26067"
"0.0","755331.5726","2925218.36668"
"0.0","755300.92043","2925182.29031"
"0.0","755234.822137","2925104.50274"
"0.0","755020.563379","2924852.35101"
"0.0","754959.625509","2924798.39443"
"0.0","754908.13119","2924752.79937"
"0.0","754879.294633","2924721.64819"
"0.0","754846.671339","2924686.40679"
"0.0","754795.63043","2924624.03323"
"0.0","754410.639074","2924175.16536"
"0.0","754360.711353","2924119.79178"
"0.0","754316.311835","2924070.60914"
"0.0","754174.97616","2923914.04088"
"0.0","754293.193115","2923821.68444"
"0.0","754574.440584","2923601.96736"
"0.0","754561.444547","2923590.8391"
"0.0","754544.299568","2923576.15868"
"0.0","754313.137301","2923290.62152"
"0.0","754311.734745","2923288.88924"
"0.0","754311.709482","2923288.85808"
"0.0","754175.466972","2923120.57003"
"0.0","754095.595413","2923021.90717"
"0.0","754011.713363","2922943.00706"
"0.0","753996.07888","2922929.05171"
"0.0","753990.836436","2922924.37193"
"0.0","753951.849966","2922876.37235"
"0.0","753852.263551","2922753.76171"
"0.0","753849.256667","2922750.05961"
"0.0","753847.376093","2922751.93723"
"0.0","753847.337707","2922751.97529"
"0.0","753752.900232","2922846.25561"
"0.0","753734.142396","2922866.63812"
"0.0","753716.103718","2922887.65645"
"0.0","753698.803556","2922909.29158"
"0.0","753682.2675","2922931.51365"
"0.0","753666.509657","2922954.29346"
"0.0","753651.555947","2922977.60411"
"0.0","753641.600258","2922994.37933"
"0.0","753637.652759","2923001.03057"
"0.0","753637.41982","2923001.42328"
"0.0","753624.964136","2923024.167"
"0.0","753624.117025","2923025.71425"
"0.0","753611.667247","2923050.45534"
"0.0","753584.70175","2923111.14649"
"0.0","753584.186987","2923112.302"
"0.0","753575.8143","2923131.09428"
"0.0","753567.596141","2923151.32981"
"0.0","753560.061379","2923171.82517"
"0.0","753553.214608","2923192.56234"
