name,shapeid,demo,transport,leisure,funding,sked,total,,Idemo,Itrans,Iskills,Ifund,Ileis,Icreative,,,,
Roslindale,0,0.91,0.47,0.6,0.14,0.29,0.482,,One of the most diverse neighborhoods ,Needs faster and more efficient transportation options,Lack of cultural centres & educational opportunities,Absence of businesses and start-ups,One of the greenest neighborhoods,Overall Creativity Potential:  0.48,,,,
Roslindale,0.1,0.91,0.47,0.6,0.14,0.29,0.482,,One of the most diverse neighborhoods ,Needs faster and more efficient transportation options,Lack of cultural centres & educational opportunities,Absence of businesses and start-ups,One of the greenest neighborhoods,Overall Creativity Potential:  0.48,,,,
Roslindale,0.2,0.91,0.47,0.6,0.14,0.29,0.482,,One of the most diverse neighborhoods ,Needs faster and more efficient transportation options,Lack of cultural centres & educational opportunities,Absence of businesses and start-ups,One of the greenest neighborhoods,Overall Creativity Potential:  0.48,,,,
Jamaica Plain,1,0.83,0.74,0.69,0.39,0.53,0.636,,One of the most diverse neighborhoods ,Pretty well connected to downtown but not other parts,Highly skilled residents but needs more educational resources,Absence of businesses and start-ups,One of the greenest neighborhoods with great restaurants,Overall Creativity Potential:  0.64,,,,
Mission Hill,2,0.94,0.86,0,0.17,0.65,0.524,,Lacks socio-economic diversity ,One of the most well connected neighborhoods ,Skilled residents but lacks libraries and educational institutions,Lacks public funding and start-ups,Lack of restaurants and green space,Overall Creativity Potential:  0.52,,,,
Longwood Medical Area,3,0.54,1,1,0.52,0.67,0.746,,Lacks diversity per the region of birth,The best connected neighborhood in Boston and Cambridge,Highly skilled residents but absence of secondary education,"Well funded for medical research, but lacks public funding",A lot of green space and great restaurants,Overall Creativity Potential:  0.75,,,,
Bay Village,4,0.63,0.94,0.55,0.07,0.27,0.492,,Lacks diversity in languages spoken at home,Well connected but not very bike friendly,"Absence of museums, libraries, and educational institutions",Absence of public funding and startups,Lack of green space,Overall Creativity Potential:  0.49,,,,
Leather District,5,0.39,0.99,0.63,0.13,0.38,0.504,,A fairly diverse neighborhood,Very well connected with important subway stations,"Absence of museums, libraries, and educational institutions",Number of high tech establishments but lacks public funding,Most number of restaurants per sq. mile, Overall Creativity Potential:  0.50,,,,
Chinatown,6,0.39,0.94,0.4,0.16,0.48,0.474,,A fairly diverse neighborhood,Very well connected with important subway stations,"Absence of museums, libraries, and educational institutions",Limited number of startups and high tech industries,Severe lack of green space,Overall Creativity Potential:  0.47,,,,
North End,7,0,0.9,0.43,0.11,0.85,0.458,,Lacks racial/ethnic diversity,Well connected but not very bike friendly,Very skilled residents and presence of libraries and museums,Limited number of startups and high tech industries,Famous for its Italian restaurants and cafes,Overall Creativity Potential:  0.46,,,,
North End,7.1,0,0.9,0.43,0.11,0.85,0.458,,Lacks racial/ethnic diversity,Well connected but not very bike friendly,Very skilled residents and presence of libraries and museums,Limited number of startups and high tech industries,Famous for its Italian restaurants and cafes,Overall Creativity Potential:  0.46,,,,
Roxbury,8,0.83,0.77,0.36,0.44,0.12,0.504,,Lacks diversity per the region of birth,Dependent on cars and not friendly for biking and walking,Residents lack skill but there a couple of future initiatives ,Good amount of public funding ,Lack of restaurants and green space,Overall Creativity Potential:  0.50,,,,
South End,9,0.8,0.86,0.36,0.37,0.64,0.606,,Lacks diversity per the region of birth,Pretty well connected but isn't very biking friendly,Skilled residents and fair number of educational opportunities,Lack of public funding and startups,Lack of green space,Overall Creativity Potential:  0.60,,,,
Back Bay,10,0.35,0.89,0.44,0.88,0.72,0.656,,Lacks education diversity ,Excellent transit connections and walking conditions,"Limited future public expenditure in the area, but skilled residents",Bustling with start ups and high tech industries,Fair amount of restaurants and green space,Overall Creativity Potential:  0.66,,,,
East Boston,11,0.74,0.49,0.62,0.24,0.49,0.516,,"Fairly diverse, but some socio-economic inequality",Not pedestrian friendly and long commute time to work,Lacks educational opportunities but skilled residents,Lacks private and public funding,Lack of restaurants and green space,Overall Creativity Potential:  0.52,,,,
Charlestown,12,0.41,0.44,0.32,0.16,0.45,0.356,,Lacks diversity in languages spoken at home,Many depend on cars and unfriendly conditions for pedestrians,Skilled residents and fair number of educational opportunities,Limited private and public funding,Lack of restaurants and green space,Overall Creativity Potential:  0.35,,,,
Charlestown,12.1,0.41,0.44,0.32,0.16,0.45,0.346,,Lacks diversity in languages spoken at home,Many depend on cars and unfriendly conditions for pedestrians,Skilled residents and fair number of educational opportunities,Limited private and public funding,Lack of restaurants and green space,Overall Creativity Potential:  0.35,,,,
West End,13,0.65,0.9,0.38,0.13,0.76,0.564,,Lacks diversity per the region of birth,Great transit and walking conditions,Skilled residents but not many educational opportunities,Lacks private and public funding,Few restaurants given the size of neigborhood,Overall Creativity Potential:  0.56,,,,
West End,13.1,0.65,0.9,0.38,0.13,0.76,0.564,,Lacks diversity per the region of birth,Great transit and walking conditions,Skilled residents but not many educational opportunities,Lacks private and public funding,Few restaurants given the size of neigborhood,Overall Creativity Potential:  0.56,,,,
Beacon Hill,14,0.13,0.9,0.47,0.07,0.83,0.48,,Lacks diversity in languages spoken at home,Great transit and walking conditions,Highly skilled residents and fair number of educational resources,Lacks funding and limited industries,Few people are employed in the leisure industry,Overall Creativity Potential:  0.48,,,,
Downtown,15,0.43,0.92,0.6,1,0.64,0.718,,Lacks racial and ethnic diversity,"Not very bike friendly, but great transit and walking options",Highly skilled residents but needs more educational resources,Highly active start-up and high tech scene,Fair amount of restaurants and green space,Overall Creativity Potential:  0.72,,,,
Downtown,15.1,0.43,0.92,0.6,1,0.64,0.718,,Lacks racial and ethnic diversity,"Not very bike friendly, but great transit and walking options",Highly skilled residents but needs more educational resources,Highly active start-up and high tech scene,Fair amount of restaurants and green space,Overall Creativity Potential:  0.72,,,,
Fenway,16,0.65,0.95,0.97,0.38,0.62,0.714,,Lacks age diversity,"Excellent transit, walking, and biking options",Skilled residents and fair number of educational opportunities,Lacks public funding,A lot of people are employed in the leisure industry,Overall Creativity Potential:  0.71,,,,
Brighton,17,0.57,0.76,0.6,0.34,0.45,0.544,,Lacks diversity in languages spoken at home,Average time to work is pretty high and dependence on car,Skilled residents but needs more educational opportunities,Limited private and public funding,Few restaurants given the size of neigborhood,Overall Creativity Potential:  0.54,,,,
West Roxbury,18,0.44,0.37,0.87,0.1,0.23,0.402,,Lacks racial and ethnic diversity,Needs better public transit and very dependent on cars,Absence of museums and libraries,Limited public funding and almost no startups,Large amounts of green space but few restaurants,Overall Creativity Potential:  0.40,,,,
Hyde Park,19,0.89,0.45,0.91,0.08,0.09,0.484,,One of the most diverse neighborhoods,Needs better public transit and very dependent on cars,Not very skilled residents & absence of educational opportunities,Lacks private and public funding,Large amounts of green space,Overall Creativity Potential:  0.48,,,,
Mattapan,20,0.41,0.57,0.55,0.08,0,0.322,,Lacks racial and ethnic diversity,Very dependent on cars and average time to work is high,Lack of skilled residents & absence of educational opportunities,Lacks private and public funding,Few restaurants given the size of neigborhood,Overall Creativity Potential:  0.32,,,,
Dorchester,21,1,0.57,0.42,0.66,0.19,0.568,,The most diverse neighborhood in Boston-Cambridge,Very dependent on cars and not friendly to biking ,Great future investments in education and fairly skilled residents,Good amount of private and public funding ,Few restaurants given the size of neigborhood, Overall Creativity Potential:  0.57,,,,
Dorchester,21.1,1,0.56,0.42,0.66,0.19,0.566,,The most diverse neighborhood in Boston-Cambridge,Very dependent on cars and not friendly to biking ,Great future investments in education and fairly skilled residents,Good amount of private and public funding ,Few restaurants given the size of neigborhood,Overall Creativity Potential:  0.57,,,,
South Boston Waterfront,22,0.17,0.57,0.5,0.55,0.6,0.478,,Lacks diversity in languages spoken at home,Pretty dependent on cars,Absence of libraries and future public investments in education,Large amounts of public funding in the future,Fair amount of restaurants and green space,Overall Creativity Potential:  0.48,,,,
South Boston,23,0.41,0.71,0.45,0.56,0.33,0.492,,Lacks racial/ethnic diversity,Pretty well connected and friendly for biking and walking,Fairly skilled residents but absence of educational opportunities,Plentiful startups and high tech industries,Few restaurants given the size of neigborhood,Overall Creativity Potential:  0.49,,,,
South Boston,23.1,0.41,0.85,0.45,0.57,0.33,0.458,,Lacks racial/ethnic diversity,Pretty well connected and friendly for biking and walking,Fairly skilled residents but absence of educational opportunities,Plentiful startups and high tech industries,Few restaurants given the size of neigborhood,Overall Creativity Potential:  0.46,,,,
Allston,24,0.74,0.78,0.61,0.23,0.49,0.57,,Lacks age diversity,Well connected by buses but no major subway stop,Highly skilled residents and fair number of educational resources,Limited number of private initiatives,Fair no. of people are employed in the leisure industry,Overall Creativity Potential:  0.57,,,,
Harbor Islands,25,0.96,0,-1,0,-1,-1,,One of the most diverse neighborhoods,Needs more transport options within the island & to the mainland,Not enough information,Almost no funding from private or public sectors,No information available ,Not enough information,,,,
Harbor Islands,25.1,0.96,0,-1,0,-1,-1,,One of the most diverse neighborhoods,Needs more transport options within the island & to the mainland,Not enough information,Almost no funding from private or public sectors,No information available ,Not enough information,,,,
Harbor Islands,25.1,0.96,0,-1,0,-1,-1,,One of the most diverse neighborhoods,Needs more transport options within the island & to the mainland,Not enough information,Almost no funding from private or public sectors,No information available ,Not enough information,,,,
Harbor Islands,25.2,0.96,0,-1,0,-1,-1,,One of the most diverse neighborhoods,Needs more transport options within the island & to the mainland,Not enough information,Almost no funding from private or public sectors,No information available ,Not enough information,,,,
Harbor Islands,25.3,0.96,0,-1,0,-1,-1,,One of the most diverse neighborhoods,Needs more transport options within the island & to the mainland,Not enough information,Almost no funding from private or public sectors,No information available ,Not enough information,,,,
Harbor Islands,25.4,0.96,0,-1,0,-1,-1,,One of the most diverse neighborhoods,Needs more transport options within the island & to the mainland,Not enough information,Almost no funding from private or public sectors,No information available ,Not enough information,,,,
Harbor Islands,25.5,0.96,0,-1,0,-1,-1,,One of the most diverse neighborhoods,Needs more transport options within the island & to the mainland,Not enough information,Almost no funding from private or public sectors,No information available ,Not enough information,,,,0.07
