"shapeid","OBJECTID","TYPE","NAME","ShapeSTAre","ShapeSTLen"
"0","1","WETAREA","NULL","35132.603027","1621.810733"
"1","2","WETAREA","NULL","9818.098633","966.117056"
"2.0","3","POND","NULL","69386.737549","2750.120981"
"2.0.ring1","3","POND","NULL","69386.737549","2750.120981"
"2.1","3","POND","NULL","69386.737549","2750.120981"
"3","4","WETAREA","NULL","10841.604736","986.772807"
"4","5","POND","NULL","711.54895","165.382941"
"5","6","POND","Chandler Pond","509593.334717","3091.804066"
"6","7","POND","NULL","5621.237061","274.961681"
"7","8","WETAREA","NULL","89365.393311","3336.285154"
"7.ring1","8","WETAREA","NULL","89365.393311","3336.285154"
"8.0","9","SALTWETAREA","NULL","672087.560059","13693.633972"
"8.1","9","SALTWETAREA","NULL","672087.560059","13693.633972"
"8.2","9","SALTWETAREA","NULL","672087.560059","13693.633972"
"8.3","9","SALTWETAREA","NULL","672087.560059","13693.633972"
"8.4","9","SALTWETAREA","NULL","672087.560059","13693.633972"
"8.5","9","SALTWETAREA","NULL","672087.560059","13693.633972"
"9","10","SALTWETAREA","NULL","753005.101074","11296.191667"
"9.ring1","10","SALTWETAREA","NULL","753005.101074","11296.191667"
"10.0","11","SALTWETAREA","NULL","139527.640381","3902.375598"
"10.1","11","SALTWETAREA","NULL","139527.640381","3902.375598"
"11","12","WETAREA","NULL","5019.4104","322.54968"
"12","13","POND","NULL","232.215088","65.795414"
"13","14","POND","NULL","216.036865","108.335334"
"14","15","POND","NULL","71.791748","42.880522"
"15","16","POND","NULL","54.603516","39.509966"
"16","17","POND","NULL","553.426758","175.489215"
"17","18","POND","NULL","235.555176","80.580825"
"18","19","WETAREA","NULL","1173.321777","204.326563"
"19","20","POND","NULL","171.936279","63.534082"
"20","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring1","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring2","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring3","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring4","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring5","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring6","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring7","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"20.ring8","21","SALTWETAREA","NULL","244469.616211","4672.03081"
"21","22","WETAREA","NULL","1945.862549","200.423941"
"22","23","WETAREA","NULL","5277.684082","409.909432"
"23","24","WETAREA","NULL","3299.950684","319.772503"
"24","25","SALTWETAREA","NULL","577930.355957","7236.498729"
"25","26","WETAREA","NULL","7685.476807","598.024756"
"26","27","WETAREA","NULL","9546.123291","937.610883"
"27","28","WETAREA","NULL","1771.32959","239.402914"
"28","29","WETAREA","NULL","1079.901123","137.16137"
"29","30","WETAREA","NULL","2992.224854","339.758787"
"30","31","SALTWETAREA","NULL","47787.420166","2781.445316"
"31","32","WETAREA","NULL","2162.539307","270.397752"
"32","33","SALTWETAREA","NULL","24162.254883","1313.38233"
"33.0","34","SALTWETAREA","NULL","179358.921387","6609.233973"
"33.1","34","SALTWETAREA","NULL","179358.921387","6609.233973"
"34","35","SALTWETAREA","NULL","65685.609863","2045.61928"
"35","36","POND","NULL","444.749512","80.737665"
"36.0","37","SALTWETAREA","NULL","128959.692627","3333.920151"
"36.0.ring1","37","SALTWETAREA","NULL","128959.692627","3333.920151"
"36.1","37","SALTWETAREA","NULL","128959.692627","3333.920151"
"37","38","SALTWETAREA","NULL","89340.411865","3928.864582"
"38.0","39","WETAREA","NULL","772053.24707","8494.925373"
"38.1","39","WETAREA","NULL","772053.24707","8494.925373"
"38.2","39","WETAREA","NULL","772053.24707","8494.925373"
"39","40","WETAREA","NULL","7.119141","17.487815"
"40","41","WETAREA","NULL","60364.620361","4049.210685"
"41","42","WETAREA","NULL","54882.804199","2305.341803"
"42","43","WETAREA","NULL","64933.950195","4012.838667"
"43","44","WETAREA","NULL","7360.581787","922.292119"
"44","45","WETAREA","NULL","18025.258301","693.853871"
"45","46","WETAREA","NULL","49075.07666","1518.638557"
"46","47","WETAREA","NULL","112778.570801","2932.13665"
"47","48","STREAM","NULL","3658.53418","261.351325"
"48","49","WETAREA","NULL","75976.436523","3137.900752"
"49","50","STREAM","NULL","3443.213135","439.623505"
"50","51","POND","NULL","201.769531","106.801185"
"51","52","POND","NULL","443.350342","101.058319"
"52","53","POND","NULL","1275.296631","362.977302"
"53","54","POND","NULL","245.080322","82.299024"
"54","55","WETAREA","NULL","6159.9729","890.857702"
"55","56","POND","NULL","684.653809","97.779457"
"56","57","POND","NULL","395.450928","77.77615"
"57","58","STREAM","NULL","36459.547852","1615.350293"
"58","59","POND","NULL","628.738281","99.328528"
"59.0","60","STREAM","Charles River","146362651.631","361741.994019"
"59.0.ring1","60","STREAM","Charles River","146362651.631","361741.994019"
"59.0.ring2","60","STREAM","Charles River","146362651.631","361741.994019"
"59.0.ring3","60","STREAM","Charles River","146362651.631","361741.994019"
"59.0.ring4","60","STREAM","Charles River","146362651.631","361741.994019"
"59.0.ring5","60","STREAM","Charles River","146362651.631","361741.994019"
"59.0.ring6","60","STREAM","Charles River","146362651.631","361741.994019"
"59.0.ring7","60","STREAM","Charles River","146362651.631","361741.994019"
"59.1","60","STREAM","Charles River","146362651.631","361741.994019"
"59.1.ring1","60","STREAM","Charles River","146362651.631","361741.994019"
"59.1.ring2","60","STREAM","Charles River","146362651.631","361741.994019"
"59.1.ring3","60","STREAM","Charles River","146362651.631","361741.994019"
"59.1.ring4","60","STREAM","Charles River","146362651.631","361741.994019"
"59.1.ring5","60","STREAM","Charles River","146362651.631","361741.994019"
"59.1.ring6","60","STREAM","Charles River","146362651.631","361741.994019"
"59.2","60","STREAM","Charles River","146362651.631","361741.994019"
"59.3","60","STREAM","Charles River","146362651.631","361741.994019"
"59.4","60","STREAM","Charles River","146362651.631","361741.994019"
"59.5","60","STREAM","Charles River","146362651.631","361741.994019"
"59.6","60","STREAM","Charles River","146362651.631","361741.994019"
"59.7","60","STREAM","Charles River","146362651.631","361741.994019"
"59.8","60","STREAM","Charles River","146362651.631","361741.994019"
"59.9","60","STREAM","Charles River","146362651.631","361741.994019"
"59.10","60","STREAM","Charles River","146362651.631","361741.994019"
"59.11","60","STREAM","Charles River","146362651.631","361741.994019"
"60","61","POND","NULL","6.371338","18.24513"
"61","62","STREAM","NULL","2601005.7229","21020.612471"
"62","63","WETAREA","NULL","15893.810059","1444.82814"
"63","64","WETAREA","NULL","6782.231445","325.92742"
"64","65","WETAREA","NULL","20387.78833","1523.079837"
"65.0","66","WETAREA","NULL","655.21582","153.647837"
"65.1","66","WETAREA","NULL","655.21582","153.647837"
"65.2","66","WETAREA","NULL","655.21582","153.647837"
"66.0","67","STREAM","NULL","432.638672","201.950223"
"66.1","67","STREAM","NULL","432.638672","201.950223"
"67","68","WETAREA","NULL","19233.347168","991.999016"
"68","69","POND","NULL","183.817383","51.677865"
"69","70","POND","NULL","68629.305664","2012.669028"
"70","71","POND","NULL","262.792969","68.375392"
"71","72","WETAREA","NULL","381.347168","107.347969"
"72","73","STREAM","NULL","1713.748291","554.889825"
"73.0","74","POND","NULL","2571.319336","459.743411"
"73.1","74","POND","NULL","2571.319336","459.743411"
"73.2","74","POND","NULL","2571.319336","459.743411"
"73.3","74","POND","NULL","2571.319336","459.743411"
"73.4","74","POND","NULL","2571.319336","459.743411"
"74","75","WETAREA","NULL","6097.234863","1019.80353"
"75","76","STREAM","NULL","443.035889","125.218202"
"76","77","WETAREA","NULL","22868.968506","710.660035"
"77","78","POND","Jamaica Pond","2843215.49853","7739.882088"
"77.ring1","78","POND","Jamaica Pond","2843215.49853","7739.882088"
"78","79","POND","NULL","104177.434082","1242.715865"
"79.0","80","STREAM","NULL","7071.84375","2202.745851"
"79.1","80","STREAM","NULL","7071.84375","2202.745851"
"79.2","80","STREAM","NULL","7071.84375","2202.745851"
"79.3","80","STREAM","NULL","7071.84375","2202.745851"
"80.0","81","POND","NULL","4773.481201","534.076209"
"80.1","81","POND","NULL","4773.481201","534.076209"
"81","82","POND","NULL","27249.05542","792.829977"
"82","83","STREAM","NULL","287.576904","146.510317"
"83","84","WETAREA","NULL","27763.990479","810.802869"
"84","85","POND","NULL","25.477051","41.134918"
"85","86","POND","NULL","427309.192383","4534.807132"
"85.ring1","86","POND","NULL","427309.192383","4534.807132"
"85.ring2","86","POND","NULL","427309.192383","4534.807132"
"85.ring3","86","POND","NULL","427309.192383","4534.807132"
"86","87","WETAREA","NULL","4.955566","16.2146"
"87","88","WETAREA","NULL","5985.164062","393.677055"
